Anio;Mes;Periodo;Ingresos_Comisiones_Exchange_USD;Ingresos_Intereses_Prestamos_USD;Ingresos_Servicios_Bancarios_USD;Ingresos_Staking_Validadores_USD;Total_Ingresos_Operativos_USD;Gastos_Operativos_Administrativos_USD;Gastos_Ciberseguridad_Compliance_USD;Gastos_Intereses_Pasivos_USD;Total_Gastos_Operativos_USD;EBITDA_USD;Depreciacion_Amortizacion_USD;Utilidad_Antes_Impuestos_USD;Impuestos_USD;Utilidad_Neta_USD;Margen_Neto_Pct;Flujo_Caja_Operativo_USD;Reservas_Liquidas_USD_Bancos;Saldo_Billetera_Fria_BTC_USD;Saldo_Billetera_Fria_ETH_USDT_USD;Liquidez_Total_Disponible_USD;Ratio_Cobertura_Meses
2023;1;2023-01;119869.02;69605.71;36659.97;26792.62;252927.32;78936.11;34545.98;19174.25;132656.34;120270.98;12000;108270.98;32481.29;75789.69;29.97;121066.89;1518089.2;2842049.44;1762058.45;6122197.09;7.69
2023;2;2023-02;139172.0;74922.92;37434.29;26909.03;278438.24;84815.03;37392.89;22200.96;144408.88;134029.36;12250;121779.36;36533.81;85245.55;30.62;129096.34;1613298.33;3039540.88;1923949.39;6576788.6;7.59
2023;3;2023-03;141708.1;77340.6;41962.5;32591.43;293602.63;90399.44;40353.37;23979.47;154732.28;138870.35;12500;126370.35;37911.11;88459.24;30.13;128405.78;1758603.59;3192168.14;2066505.16;7017276.89;7.56
2023;4;2023-04;161184.34;88059.84;46914.56;32227.21;328385.95;94974.42;43044.06;25023.82;163042.3;165343.65;12750;152593.65;45778.09;106815.56;32.53;154133.98;1869614.15;3384470.51;2300932.04;7555016.7;7.72
2023;5;2023-05;162595.77;91258.98;47459.45;35575.3;336889.5;102507.33;43244.42;28022.2;173773.95;163115.55;13000;150115.55;45034.66;105080.89;31.19;162709.93;2025159.92;3706327.56;2419790.0;8151277.48;7.82
2023;6;2023-06;180956.81;91943.02;49721.88;34993.01;357614.72;105649.41;45752.18;27238.27;178639.86;178974.86;13250;165724.86;49717.46;116007.4;32.44;179489.19;2098540.27;3836521.49;2564269.61;8499331.37;7.93
2023;7;2023-07;179887.8;102572.79;51764.02;42064.5;376289.11;112443.41;46733.59;27653.19;186830.19;189458.92;13500;175958.92;52787.68;123171.24;32.73;189751.85;2246548.59;4104770.93;2737127.03;9088446.55;8.11
2023;8;2023-08;187501.1;103617.75;54444.75;43150.93;388714.53;115344.45;48711.63;28951.41;193007.49;195707.04;13750;181957.04;54587.11;127369.93;32.77;186136.62;2336014.67;4314848.8;2873755.75;9524619.22;8.22
2023;9;2023-09;206077.4;108863.86;56798.2;43994.44;415733.9;119712.06;50929.68;32127.62;202769.36;212964.54;14000;198964.54;59689.36;139275.18;33.5;206443.47;2471818.63;4485580.33;2962541.91;9919940.87;8.15
2023;10;2023-10;203649.31;109510.07;61629.01;43405.36;418193.75;121574.39;53484.18;31570.83;206629.4;211564.35;14250;197314.35;59194.3;138120.05;33.03;203321.44;2610444.09;4669743.76;3117697.99;10397885.84;8.39
2023;11;2023-11;213623.36;114670.42;65314.99;47706.45;441315.22;125627.48;54669.43;34224.5;214521.41;226793.81;14500;212293.81;63688.14;148605.67;33.67;212881.6;2741404.72;4920114.49;3340744.02;11002263.23;8.55
2023;12;2023-12;229241.52;120114.88;63473.02;46127.05;458956.47;127718.6;55801.48;35397.21;218917.29;240039.18;14750;225289.18;67586.75;157702.43;34.36;221002.92;2830859.78;5114263.43;3432210.78;11377333.99;8.66
2024;1;2024-01;227217.43;124641.31;69990.14;48331.61;470180.49;131709.42;56760.0;34944.76;223414.18;246766.31;15000;231766.31;69529.89;162236.42;34.51;251005.31;2986995.78;5302731.7;3609724.85;11899452.33;8.88
2024;2;2024-02;238137.33;128859.43;67958.66;51691.34;486646.76;135233.91;55909.41;35787.1;226930.42;259716.34;15250;244466.34;73339.9;171126.44;35.16;262528.18;3049164.95;5498836.33;3758945.28;12306946.56;9.04
2024;3;2024-03;256219.73;133489.84;73812.51;54440.21;517962.29;137488.4;59793.26;37223.87;234505.53;283456.76;15500;267956.76;80387.03;187569.73;36.21;278703.36;3200682.38;5759650.71;3869028.98;12829362.07;9.12
2024;4;2024-04;264105.39;139449.74;74254.48;52525.61;530335.22;143689.78;61221.62;37416.53;242327.93;288007.29;15750;272257.29;81677.19;190580.1;35.94;279715.36;3288119.66;5983872.46;4027436.64;13299428.76;9.15
2024;5;2024-05;272702.21;145650.56;81060.32;55239.7;554652.79;146492.92;60936.26;41459.5;248888.68;305764.11;16000;289764.11;86929.23;202834.88;36.57;308128.87;3410635.33;6195797.93;4241722.22;13848155.48;9.27
2024;6;2024-06;281948.42;152758.06;80797.41;57289.32;572793.21;154307.63;65445.0;41962.73;261715.36;311077.85;16250;294827.85;88448.36;206379.49;36.03;296738.09;3537936.77;6414374.24;4399711.03;14352022.04;9.14
2024;7;2024-07;297655.63;160930.9;86121.18;59613.5;604321.21;154481.09;67232.09;43299.98;265013.16;339308.05;16500;322808.05;96842.42;225965.63;37.39;312475.47;3638117.72;6616255.23;4460506.16;14714879.11;9.25
2024;8;2024-08;299791.27;165352.78;89747.2;65148.45;620039.7;159472.48;68381.0;43624.17;271477.65;348562.05;16750;331812.05;99543.62;232268.43;37.46;332019.28;3809719.31;6824452.28;4694922.34;15329093.93;9.41
2024;9;2024-09;317793.87;171762.46;90123.14;65990.13;645669.6;164276.67;68517.94;47250.93;280045.54;365624.06;17000;348624.06;104587.22;244036.84;37.8;350746.73;3941363.72;7032048.02;4839481.13;15812892.87;9.41
2024;10;2024-10;327076.2;177950.44;95412.32;67395.07;667834.03;171440.8;70365.42;45786.38;287592.6;380241.43;17250;362991.43;108897.43;254094.0;38.05;374365.65;4004168.85;7282259.62;5005392.86;16291821.33;9.44
2024;11;2024-11;343298.22;182180.63;96195.4;73690.12;695364.37;173889.98;74401.92;49925.99;298217.89;397146.48;17500;379646.48;113893.94;265752.54;38.22;399251.73;4133555.91;7420062.7;5145113.67;16698732.28;9.33
2024;12;2024-12;345815.03;186149.09;101903.39;75876.99;709744.5;179458.23;74548.91;48572.75;302579.89;407164.61;17750;389414.61;116824.38;272590.23;38.41;399632.36;4309204.31;7598210.92;5261832.97;17169248.2;9.46
2025;1;2025-01;362742.0;195941.56;105416.46;76600.36;740700.38;181123.77;75007.17;51871.77;308002.71;432697.67;18000;414697.67;124409.3;290288.37;39.19;433135.27;4419365.79;7908721.27;5411134.24;17739221.3;9.6
2025;2;2025-02;366843.48;201270.07;107802.58;78469.94;754386.07;187154.2;78413.47;51537.11;317104.78;437281.29;18250;419031.29;125709.39;293321.9;38.88;418722.33;4477518.56;8075176.42;5513594.23;18066289.21;9.5
2025;3;2025-03;374778.08;203775.7;108435.92;79609.02;766598.72;185733.59;76653.25;53996.37;316383.21;450215.51;18500;431715.51;129514.65;302200.86;39.42;430414.61;4600164.84;8277891.62;5736999.36;18615055.82;9.81
2025;4;2025-04;379478.38;208722.51;109747.94;78299.4;776248.23;191722.08;79565.08;54388.84;325676.0;450572.23;18750;431822.23;129546.67;302275.56;38.94;447242.11;4788068.17;8487119.05;5842295.65;19117482.87;9.78
2025;5;2025-05;394685.32;210063.44;113754.66;80045.66;798549.08;191552.53;82146.26;55897.19;329595.98;468953.1;19000;449953.1;134985.93;314967.17;39.44;464074.78;4862716.24;8652528.26;5975643.7;19490888.2;9.86
2025;6;2025-06;395215.94;216415.32;117353.79;84831.66;813816.71;195910.05;83208.04;56505.81;335623.9;478192.81;19250;458942.81;137682.84;321259.97;39.48;466446.2;4998937.66;8894548.01;6134773.1;20028258.77;9.95
2025;7;2025-07;404363.52;222294.7;116119.93;83458.37;826236.52;197381.32;81113.76;57777.46;336272.54;489963.98;19500;470463.98;141139.19;329324.79;39.86;485243.56;5107933.91;9062718.44;6309161.59;20479813.94;10.15
2025;8;2025-08;414023.44;222022.61;120589.18;86706.01;843341.24;203793.42;84343.54;56305.59;344442.55;498898.69;19750;479148.69;143744.61;335404.08;39.77;477676.17;5240068.79;9325407.71;6495648.98;21061125.48;10.19
2025;9;2025-09;425084.64;226627.69;121296.65;89850.31;862859.29;203425.98;85386.62;60007.27;348819.87;514039.42;20000;494039.42;148211.83;345827.59;40.08;502497.91;5341053.59;9553627.47;6605825.29;21500506.35;10.27
2025;10;2025-10;432893.08;237881.75;125580.53;93536.56;889891.92;212078.49;85316.9;58481.55;355876.94;534014.98;20250;513764.98;154129.49;359635.49;40.41;496675.48;5431457.75;9692277.58;6778300.68;21902036.01;10.26
2025;11;2025-11;436664.45;238285.43;130773.25;90448.62;896171.75;215133.13;86996.3;59788.34;361917.77;534253.98;20500;513753.98;154126.19;359627.79;40.13;528737.12;5600315.43;10004071.36;6933507.1;22537893.89;10.38
2025;12;2025-12;456746.4;243711.06;130516.7;96649.45;927623.61;218890.81;90930.99;61900.53;371722.33;555901.28;20750;535151.28;160545.38;374605.9;40.38;532109.71;5732113.04;10144304.46;7103075.73;22979493.23;10.3
2026;1;2026-01;468539.93;250888.09;136615.35;98979.27;955022.64;218634.47;92137.87;63462.83;374235.17;580787.47;21000;559787.47;167936.24;391851.23;41.03;582324.09;5815603.97;10426418.02;7198920.17;23440942.16;10.44
2026;2;2026-02;468955.29;260892.52;136652.3;98967.56;965467.67;227784.06;93857.86;64988.04;386629.96;578837.71;21250;557587.71;167276.31;390311.4;40.43;569103.81;5945875.64;10558117.4;7342866.45;23846859.49;10.28
2026;3;2026-03;489143.51;265944.41;143533.12;103968.06;1002589.1;226728.19;93822.29;64773.81;385324.29;617264.81;21500;595764.81;178729.44;417035.37;41.6;601804.11;6065322.44;10845401.54;7495091.5;24405815.48;10.56
2026;4;2026-04;493442.87;267309.48;146742.85;105425.41;1012920.61;230837.4;93927.31;68025.1;392789.81;620130.8;21750;598380.8;179514.24;418866.56;41.35;575032.59;6215748.8;11031811.49;7618134.88;24865695.17;10.55
2026;5;2026-05;504266.6;280148.46;148085.77;106405.97;1038906.8;239037.04;98442.0;70165.02;407644.06;631262.74;22000;609262.74;182778.82;426483.92;41.05;628319.68;6300100.77;11160855.09;7837714.69;25298670.55;10.34
2026;6;2026-06;521207.3;281490.64;153891.62;107225.76;1063815.32;240864.99;96589.88;69841.43;407296.3;656519.02;22250;634269.02;190280.71;443988.31;41.74;607693.92;6399505.43;11375278.41;7974921.03;25749704.87;10.54
